2022-10-03 05:12:12, soc: 6, bat: 4224.000000, vout: 9232.000000, charge: 3171.428571, discharge: 0.000000
2022-10-03 05:12:13, soc: 6, bat: 4224.000000, vout: 10092.000000, charge: 3150.000000, discharge: 0.000000
2022-10-03 05:12:14, soc: 6, bat: 4224.000000, vout: 8208.000000, charge: 3132.142857, discharge: 0.000000
2022-10-03 05:12:15, soc: 7, bat: 4224.000000, vout: 10092.000000, charge: 3121.428571, discharge: 0.000000
2022-10-03 05:12:16, soc: 7, bat: 4224.000000, vout: 9232.000000, charge: 3114.285714, discharge: 0.000000
2022-10-03 05:12:17, soc: 7, bat: 4224.000000, vout: 9068.000000, charge: 3114.285714, discharge: 0.000000
2022-10-03 05:12:18, soc: 7, bat: 4838.400000, vout: 9288.000000, charge: 3110.714286, discharge: 0.000000
2022-10-03 05:12:19, soc: 7, bat: 4224.000000, vout: 8208.000000, charge: 3110.714286, discharge: 0.000000
2022-10-03 05:12:20, soc: 8, bat: 4224.000000, vout: 9068.000000, charge: 3107.142857, discharge: 0.000000
2022-10-03 05:12:21, soc: 8, bat: 4224.000000, vout: 9288.000000, charge: 3100.000000, discharge: 0.000000
2022-10-03 05:12:22, soc: 8, bat: 4225.200000, vout: 9232.000000, charge: 3085.714286, discharge: 0.000000
2022-10-03 05:12:23, soc: 8, bat: 4225.200000, vout: 8208.000000, charge: 3078.571429, discharge: 0.000000
2022-10-03 05:12:24, soc: 8, bat: 4225.200000, vout: 9288.000000, charge: 3071.428571, discharge: 0.000000
2022-10-03 05:12:25, soc: 9, bat: 4225.200000, vout: 9232.000000, charge: 3067.857143, discharge: 0.000000
2022-10-03 05:12:26, soc: 9, bat: 4225.200000, vout: 9068.000000, charge: 3067.857143, discharge: 0.000000
2022-10-03 05:12:27, soc: 9, bat: 4225.200000, vout: 9068.000000, charge: 3067.857143, discharge: 0.000000
2022-10-03 05:12:28, soc: 9, bat: 4225.200000, vout: 9288.000000, charge: 3067.857143, discharge: 0.000000
2022-10-03 05:12:29, soc: 9, bat: 4225.200000, vout: 9288.000000, charge: 3067.857143, discharge: 0.000000
2022-10-03 05:12:30, soc: 10, bat: 4225.200000, vout: 9232.000000, charge: 3067.857143, discharge: 0.000000
2022-10-03 05:12:31, soc: 10, bat: 4225.200000, vout: 8212.000000, charge: 3064.285714, discharge: 0.000000
2022-10-03 05:12:32, soc: 10, bat: 4225.200000, vout: 9068.000000, charge: 3064.285714, discharge: 0.000000
2022-10-03 05:12:33, soc: 10, bat: 4225.200000, vout: 9068.000000, charge: 3064.285714, discharge: 0.000000
2022-10-03 05:12:34, soc: 10, bat: 4225.200000, vout: 10092.000000, charge: 3060.714286, discharge: 0.000000
2022-10-03 05:12:35, soc: 11, bat: 4225.200000, vout: 9288.000000, charge: 3060.714286, discharge: 0.000000
2022-10-03 05:12:36, soc: 11, bat: 4225.200000, vout: 9288.000000, charge: 3060.714286, discharge: 0.000000
2022-10-03 05:12:37, soc: 11, bat: 4225.200000, vout: 9288.000000, charge: 3060.714286, discharge: 0.000000
2022-10-03 05:12:38, soc: 11, bat: 4225.200000, vout: 9288.000000, charge: 3060.714286, discharge: 0.000000
2022-10-03 05:12:39, soc: 11, bat: 4225.200000, vout: 9236.000000, charge: 3060.714286, discharge: 0.000000
2022-10-03 05:12:40, soc: 12, bat: 4225.200000, vout: 9236.000000, charge: 3057.142857, discharge: 0.000000
2022-10-03 05:12:41, soc: 12, bat: 4225.200000, vout: 8212.000000, charge: 3053.571429, discharge: 0.000000
2022-10-03 05:12:42, soc: 12, bat: 4225.200000, vout: 8208.000000, charge: 3053.571429, discharge: 0.000000
2022-10-03 05:12:43, soc: 12, bat: 4224.000000, vout: 9236.000000, charge: 3050.000000, discharge: 0.000000
2022-10-03 05:12:44, soc: 12, bat: 4228.800000, vout: 8240.000000, charge: 3046.428571, discharge: 0.000000
2022-10-03 05:12:45, soc: 12, bat: 4224.000000, vout: 8212.000000, charge: 3046.428571, discharge: 0.000000
2022-10-03 05:12:46, soc: 13, bat: 4224.000000, vout: 9236.000000, charge: 3046.428571, discharge: 0.000000
2022-10-03 05:12:47, soc: 13, bat: 4224.000000, vout: 9236.000000, charge: 3046.428571, discharge: 0.000000
2022-10-03 05:12:48, soc: 13, bat: 4224.000000, vout: 9236.000000, charge: 3042.857143, discharge: 0.000000
2022-10-03 05:12:49, soc: 13, bat: 4224.000000, vout: 8208.000000, charge: 3042.857143, discharge: 0.000000
2022-10-03 05:12:50, soc: 13, bat: 4224.000000, vout: 9236.000000, charge: 3042.857143, discharge: 0.000000
2022-10-03 05:12:51, soc: 14, bat: 4224.000000, vout: 9232.000000, charge: 3039.285714, discharge: 0.000000
2022-10-03 05:12:52, soc: 14, bat: 4224.000000, vout: 9288.000000, charge: 3039.285714, discharge: 0.000000
2022-10-03 05:12:53, soc: 14, bat: 4225.200000, vout: 9288.000000, charge: 3035.714286, discharge: 0.000000
2022-10-03 05:12:54, soc: 14, bat: 4225.200000, vout: 9288.000000, charge: 3035.714286, discharge: 0.000000
2022-10-03 05:12:55, soc: 14, bat: 4225.200000, vout: 10092.000000, charge: 3035.714286, discharge: 0.000000
2022-10-03 05:12:56, soc: 15, bat: 4225.200000, vout: 9068.000000, charge: 3032.142857, discharge: 0.000000
2022-10-03 05:12:57, soc: 15, bat: 4225.200000, vout: 9068.000000, charge: 3032.142857, discharge: 7314.285714
2022-10-03 05:12:58, soc: 15, bat: 4225.200000, vout: 8212.000000, charge: 3032.142857, discharge: 0.000000
2022-10-03 05:12:59, soc: 15, bat: 4225.200000, vout: 9236.000000, charge: 3032.142857, discharge: 0.000000
2022-10-03 05:13:00, soc: 15, bat: 4225.200000, vout: 9264.000000, charge: 3028.571429, discharge: 0.000000
2022-10-03 05:13:01, soc: 16, bat: 4225.200000, vout: 9264.000000, charge: 3028.571429, discharge: 0.000000
2022-10-03 05:13:02, soc: 16, bat: 4225.200000, vout: 9288.000000, charge: 3025.000000, discharge: 0.000000
2022-10-03 05:13:03, soc: 16, bat: 4225.200000, vout: 9288.000000, charge: 3021.428571, discharge: 0.000000
2022-10-03 05:13:04, soc: 16, bat: 4225.200000, vout: 10092.000000, charge: 3017.857143, discharge: 0.000000
2022-10-03 05:13:05, soc: 16, bat: 4225.200000, vout: 10092.000000, charge: 3014.285714, discharge: 0.000000
2022-10-03 05:13:06, soc: 17, bat: 4225.200000, vout: 9068.000000, charge: 3010.714286, discharge: 0.000000
2022-10-03 05:13:07, soc: 17, bat: 4225.200000, vout: 8212.000000, charge: 3003.571429, discharge: 0.000000
2022-10-03 05:13:08, soc: 17, bat: 4225.200000, vout: 9236.000000, charge: 2992.857143, discharge: 0.000000
2022-10-03 05:13:09, soc: 17, bat: 4225.200000, vout: 9288.000000, charge: 2982.142857, discharge: 0.000000
2022-10-03 05:13:10, soc: 17, bat: 4225.200000, vout: 9288.000000, charge: 2978.571429, discharge: 0.000000
2022-10-03 05:13:11, soc: 17, bat: 4225.200000, vout: 10092.000000, charge: 2964.285714, discharge: 0.000000
2022-10-03 05:13:12, soc: 17, bat: 4225.200000, vout: 9068.000000, charge: 2957.142857, discharge: 0.000000
2022-10-03 05:13:13, soc: 17, bat: 4225.200000, vout: 9236.000000, charge: 2950.000000, discharge: 0.000000
2022-10-03 05:13:14, soc: 17, bat: 4224.000000, vout: 9288.000000, charge: 2942.857143, discharge: 0.000000
2022-10-03 05:13:15, soc: 17, bat: 4224.000000, vout: 9288.000000, charge: 2939.285714, discharge: 0.000000
2022-10-03 05:13:16, soc: 17, bat: 4224.000000, vout: 9288.000000, charge: 2939.285714, discharge: 0.000000
2022-10-03 05:13:17, soc: 17, bat: 4224.000000, vout: 9068.000000, charge: 2932.142857, discharge: 0.000000
2022-10-03 05:13:18, soc: 17, bat: 4224.000000, vout: 9236.000000, charge: 2935.714286, discharge: 0.000000
2022-10-03 05:13:19, soc: 17, bat: 4224.000000, vout: 9288.000000, charge: 2932.142857, discharge: 0.000000
2022-10-03 05:13:20, soc: 17, bat: 4224.000000, vout: 9288.000000, charge: 2932.142857, discharge: 0.000000
2022-10-03 05:13:21, soc: 18, bat: 4224.000000, vout: 10092.000000, charge: 2932.142857, discharge: 0.000000
2022-10-03 05:13:22, soc: 18, bat: 4224.000000, vout: 8240.000000, charge: 2932.142857, discharge: 0.000000
2022-10-03 05:13:23, soc: 18, bat: 4224.000000, vout: 9264.000000, charge: 2932.142857, discharge: 0.000000
2022-10-03 05:13:24, soc: 18, bat: 4225.200000, vout: 9288.000000, charge: 2932.142857, discharge: 0.000000
2022-10-03 05:13:25, soc: 18, bat: 4225.200000, vout: 10092.000000, charge: 2928.571429, discharge: 0.000000
2022-10-03 05:13:26, soc: 18, bat: 4225.200000, vout: 8208.000000, charge: 2928.571429, discharge: 0.000000
2022-10-03 05:13:27, soc: 18, bat: 4225.200000, vout: 9264.000000, charge: 2928.571429, discharge: 0.000000
2022-10-03 05:13:28, soc: 18, bat: 4227.600000, vout: 9288.000000, charge: 2928.571429, discharge: 0.000000
2022-10-03 05:13:29, soc: 18, bat: 4225.200000, vout: 9068.000000, charge: 2925.000000, discharge: 0.000000
2022-10-03 05:13:30, soc: 18, bat: 4225.200000, vout: 9232.000000, charge: 2925.000000, discharge: 0.000000
2022-10-03 05:13:31, soc: 18, bat: 4225.200000, vout: 9288.000000, charge: 2925.000000, discharge: 0.000000
2022-10-03 05:13:32, soc: 18, bat: 4225.200000, vout: 9068.000000, charge: 2921.428571, discharge: 0.000000
2022-10-03 05:13:33, soc: 18, bat: 4225.200000, vout: 8212.000000, charge: 2917.857143, discharge: 0.000000
2022-10-03 05:13:34, soc: 18, bat: 4225.200000, vout: 9288.000000, charge: 2914.285714, discharge: 0.000000
2022-10-03 05:13:35, soc: 18, bat: 4225.200000, vout: 9288.000000, charge: 2914.285714, discharge: 0.000000
2022-10-03 05:13:36, soc: 19, bat: 4225.200000, vout: 9068.000000, charge: 2910.714286, discharge: 0.000000
2022-10-03 05:13:37, soc: 19, bat: 4225.200000, vout: 9264.000000, charge: 2910.714286, discharge: 0.000000
2022-10-03 05:13:38, soc: 19, bat: 4225.200000, vout: 9288.000000, charge: 2910.714286, discharge: 0.000000
2022-10-03 05:13:39, soc: 19, bat: 4225.200000, vout: 9068.000000, charge: 2914.285714, discharge: 0.000000
2022-10-03 05:13:40, soc: 19, bat: 4225.200000, vout: 8240.000000, charge: 2907.142857, discharge: 0.000000
2022-10-03 05:13:41, soc: 19, bat: 4225.200000, vout: 9288.000000, charge: 2907.142857, discharge: 0.000000
2022-10-03 05:13:42, soc: 19, bat: 4225.200000, vout: 9288.000000, charge: 2900.000000, discharge: 0.000000
2022-10-03 05:13:43, soc: 19, bat: 4225.200000, vout: 9068.000000, charge: 2889.285714, discharge: 0.000000
2022-10-03 05:13:44, soc: 19, bat: 4224.000000, vout: 9288.000000, charge: 2882.142857, discharge: 0.000000
2022-10-03 05:13:45, soc: 19, bat: 4224.000000, vout: 9288.000000, charge: 2875.000000, discharge: 0.000000
2022-10-03 05:13:47, soc: 19, bat: 4224.000000, vout: 9068.000000, charge: 2867.857143, discharge: 0.000000
2022-10-03 05:13:48, soc: 19, bat: 4224.000000, vout: 9236.000000, charge: 2864.285714, discharge: 0.000000
2022-10-03 05:13:49, soc: 19, bat: 4224.000000, vout: 9288.000000, charge: 2857.142857, discharge: 0.000000
2022-10-03 05:13:50, soc: 19, bat: 4224.000000, vout: 8212.000000, charge: 2853.571429, discharge: 0.000000
2022-10-03 05:13:51, soc: 19, bat: 4224.000000, vout: 9288.000000, charge: 2853.571429, discharge: 0.000000
2022-10-03 05:13:52, soc: 20, bat: 4224.000000, vout: 10092.000000, charge: 2853.571429, discharge: 14.285714
2022-10-03 05:13:53, soc: 20, bat: 4224.000000, vout: 8212.000000, charge: 2853.571429, discharge: 0.000000
2022-10-03 05:13:54, soc: 20, bat: 4224.000000, vout: 9288.000000, charge: 2850.000000, discharge: 0.000000
2022-10-03 05:13:55, soc: 20, bat: 4225.200000, vout: 9068.000000, charge: 2850.000000, discharge: 0.000000
2022-10-03 05:13:56, soc: 20, bat: 4225.200000, vout: 9288.000000, charge: 2846.428571, discharge: 0.000000
2022-10-03 05:13:57, soc: 20, bat: 4225.200000, vout: 10092.000000, charge: 2839.285714, discharge: 0.000000
2022-10-03 05:13:58, soc: 20, bat: 4225.200000, vout: 9236.000000, charge: 2839.285714, discharge: 0.000000
2022-10-03 05:13:59, soc: 20, bat: 4225.200000, vout: 9288.000000, charge: 2832.142857, discharge: 0.000000
2022-10-03 05:14:00, soc: 20, bat: 4225.200000, vout: 9068.000000, charge: 2835.714286, discharge: 0.000000
2022-10-03 05:14:01, soc: 20, bat: 4225.200000, vout: 9288.000000, charge: 2832.142857, discharge: 0.000000
2022-10-03 05:14:02, soc: 20, bat: 4225.200000, vout: 10092.000000, charge: 2828.571429, discharge: 0.000000
2022-10-03 05:14:03, soc: 20, bat: 4225.200000, vout: 9236.000000, charge: 2825.000000, discharge: 0.000000
2022-10-03 05:14:04, soc: 20, bat: 4225.200000, vout: 9288.000000, charge: 2825.000000, discharge: 0.000000
2022-10-03 05:14:05, soc: 20, bat: 4225.200000, vout: 9068.000000, charge: 2821.428571, discharge: 0.000000
2022-10-03 05:14:06, soc: 20, bat: 4225.200000, vout: 9288.000000, charge: 2821.428571, discharge: 0.000000
2022-10-03 05:14:07, soc: 21, bat: 4225.200000, vout: 10092.000000, charge: 2810.714286, discharge: 0.000000
2022-10-03 05:14:08, soc: 21, bat: 4225.200000, vout: 9264.000000, charge: 2807.142857, discharge: 0.000000
2022-10-03 05:14:09, soc: 21, bat: 4225.200000, vout: 9288.000000, charge: 2807.142857, discharge: 0.000000
2022-10-03 05:14:10, soc: 21, bat: 4225.200000, vout: 9068.000000, charge: 2800.000000, discharge: 0.000000
2022-10-03 05:14:11, soc: 21, bat: 4225.200000, vout: 9288.000000, charge: 2800.000000, discharge: 0.000000
2022-10-03 05:14:12, soc: 21, bat: 4225.200000, vout: 9068.000000, charge: 2796.428571, discharge: 0.000000
2022-10-03 05:14:13, soc: 21, bat: 4225.200000, vout: 9264.000000, charge: 2792.857143, discharge: 0.000000
2022-10-03 05:14:14, soc: 21, bat: 4225.200000, vout: 10092.000000, charge: 2792.857143, discharge: 0.000000
2022-10-03 05:14:15, soc: 21, bat: 4224.000000, vout: 9264.000000, charge: 2792.857143, discharge: 0.000000
2022-10-03 05:14:16, soc: 21, bat: 4224.000000, vout: 10092.000000, charge: 2792.857143, discharge: 0.000000
2022-10-03 05:14:17, soc: 21, bat: 4224.000000, vout: 9264.000000, charge: 2792.857143, discharge: 0.000000
2022-10-03 05:14:18, soc: 21, bat: 4224.000000, vout: 10092.000000, charge: 2792.857143, discharge: 0.000000
2022-10-03 05:14:19, soc: 21, bat: 4224.000000, vout: 9232.000000, charge: 2792.857143, discharge: 0.000000
2022-10-03 05:14:20, soc: 21, bat: 4224.000000, vout: 10092.000000, charge: 2789.285714, discharge: 0.000000
2022-10-03 05:14:21, soc: 21, bat: 4224.000000, vout: 8240.000000, charge: 2789.285714, discharge: 0.000000
2022-10-03 05:14:22, soc: 22, bat: 4224.000000, vout: 9288.000000, charge: 2792.857143, discharge: 0.000000
2022-10-03 05:14:23, soc: 22, bat: 4224.000000, vout: 8240.000000, charge: 2789.285714, discharge: 0.000000
2022-10-03 05:14:24, soc: 22, bat: 4224.000000, vout: 9288.000000, charge: 2792.857143, discharge: 0.000000
2022-10-03 05:14:25, soc: 22, bat: 4224.000000, vout: 8212.000000, charge: 2789.285714, discharge: 0.000000
2022-10-03 05:14:26, soc: 22, bat: 4225.200000, vout: 9288.000000, charge: 2789.285714, discharge: 0.000000
2022-10-03 05:14:27, soc: 22, bat: 4225.200000, vout: 8240.000000, charge: 2789.285714, discharge: 0.000000
2022-10-03 05:14:28, soc: 22, bat: 4225.200000, vout: 9288.000000, charge: 2789.285714, discharge: 0.000000
2022-10-03 05:14:29, soc: 22, bat: 4225.200000, vout: 8240.000000, charge: 2785.714286, discharge: 0.000000
2022-10-03 05:14:30, soc: 22, bat: 4225.200000, vout: 9288.000000, charge: 2785.714286, discharge: 0.000000
2022-10-03 05:14:31, soc: 22, bat: 4225.200000, vout: 8240.000000, charge: 2785.714286, discharge: 0.000000
2022-10-03 05:14:32, soc: 22, bat: 4225.200000, vout: 9288.000000, charge: 2782.142857, discharge: 0.000000
2022-10-03 05:14:33, soc: 22, bat: 4225.200000, vout: 8212.000000, charge: 2782.142857, discharge: 0.000000
2022-10-03 05:14:34, soc: 22, bat: 4225.200000, vout: 9288.000000, charge: 2782.142857, discharge: 0.000000
2022-10-03 05:14:35, soc: 22, bat: 4225.200000, vout: 9264.000000, charge: 2782.142857, discharge: 0.000000
2022-10-03 05:14:36, soc: 22, bat: 4225.200000, vout: 10092.000000, charge: 2782.142857, discharge: 0.000000
